4	0.02	0	0.961038
5	0.03	0	1
6	0.01	0	0.936933
7	0.06	0	0.967552
8	0.11	0	0.9813
9	0.29	0	0.979351
10	0.61	0	0.982018
11	1.76	0	0.984806
12	2.76	0	0.982553
13	5.69	0	0.967374
14	12.59	0	0.970652
15	30.46	0	0.963851
16	71.3	0	0.967522
17	176.44	0	0.964574
------------------------------
4	0	0	1.04054
5	0.01	0.01	1
6	0.04	0	1.06731
7	0.05	0.01	1.03354
8	0.13	0	1.01906
9	0.24	0.02	1.02108
10	0.68	0	1.01831
11	1.55	0.03	1.01543
12	2.59	0.01	1.01776
13	5.87	0.02	1.03373
14	13.48	0.03	1.03024
15	33.08	0.06	1.0375
16	74.6	0.07	1.03357
17	178.29	0.04	1.03673
18	417.27	0.02	1.03232
19	1239	0	1.02804
20	2154	0	1.02967
21	4900	0	1.02505
3	0	0	1
4	0	0	1.04054
5	0	0	1.00092
6	0	0	1.0133
7	0	0	1.03354
8	1	0	1.01906
9	1	0	1.02108
10	1	0	1.01831
11	2	0	1.01543
12	4	0	1.01776
13	6	0	1.03373
14	26	0	1.03024
15	55	0	1.0375
16	94	0	1.03357
17	188	0	1.03673
18	613	0	1.03232
19	1434	0	1.02804
20	2271	0	1.02967
21	4902	0	1.02505
4	0.01	0.01	1.04054
5	0.01	0	1.00092
6	0.04	0.01	1.0133
7	0.1	0.01	1.03354
8	0.14	0.04	1.01906
9	0.3	0.01	1.02108
10	0.65	0.02	1.01831
11	1.28	0.01	1.01543
12	2.4	0	1.01776
13	5.49	0.02	1.03373
14	12.96	0.04	1.03024
15	30.44	0.02	1.0375
16	71.73	0.01	1.03357
17	172.22	0.02	1.03673
